Tempo;Canal A;Canal B
(ms);(V);(mV)

60,87699062;3,04620504;0,00305185
61,04083062;3,04620504;0,00305185
61,20467062;3,04620504;0,00305185
61,36851062;3,00134277;0,00305185
61,53235062;3,00134277;0,00305185
61,69619062;3,04620504;0,00305185
61,86003062;3,04620504;0,00305185
62,02387062;2,95648050;0,00305185
62,18771062;3,04620504;0,00305185
62,35155062;3,00134277;0,00305185
62,51539061;3,00134277;0,00305185
62,67923061;3,00134277;0,00305185
62,84307061;3,04620504;0,00305185
63,00691061;3,04620504;0,45625171
63,17075061;3,04620504;-0,45167392
63,33459061;3,00134277;0,00305185
63,49843061;3,00134277;0,00305185
63,66227061;3,00134277;0,00305185
63,82611061;3,00134277;-0,45167392
63,98995061;2,95648050;0,00305185
64,15379060;3,00134277;-0,45167392
64,31763060;3,00134277;-0,45167392
64,48147060;3,00134277;-0,45167392
64,64531060;3,00134277;-0,45167392
64,80915060;3,04620504;-0,45167392
64,97299060;3,04620504;-0,45167392
65,13683060;3,00134277;-0,45167392
65,30067060;3,00134277;-0,45167392
65,46451060;3,00134277;-0,45167392
65,62835060;3,04620504;-0,45167392
65,79219059;3,04620504;-0,45167392
65,95603059;3,04620504;-0,45167392
66,11987059;3,04620504;-0,45167392
66,28371059;3,00134277;-0,45167392
66,44755059;3,00134277;-0,45167392
66,61139059;3,04620504;-0,45167392
66,77523059;3,04620504;-0,45167392
66,93907059;3,04620504;-0,45167392
67,10291059;3,00134277;-0,45167392
67,26675059;3,00134277;-0,45167392
67,43059058;3,00134277;-0,45167392
67,59443058;3,04620504;0,00305185
67,75827058;3,00134277;-0,45167392
67,92211058;3,00134277;-0,45167392
68,08595058;3,00134277;0,00305185
68,24979058;3,04620504;-0,45167392
68,41363058;3,04620504;0,00305185
68,57747058;3,04620504;0,00305185
68,74131058;3,04620504;-0,45167392
68,90515058;3,00134277;0,00305185
69,06899058;3,00134277;-0,45167392
69,23283057;3,04620504;0,00305185
69,39667057;2,95648050;0,00305185
69,56051057;3,00134277;-0,45167392
69,72435057;3,00134277;-0,45167392
69,88819057;3,00134277;0,00305185
70,05203057;3,00134277;-0,45167392
70,21587057;3,04620504;-0,45167392
70,37971057;3,04620504;0,00305185
70,54355057;3,00134277;-0,45167392
70,70739057;3,00134277;0,00305185
70,87123056;3,00134277;-0,45167392
71,03507056;3,00134277;0,00305185
71,19891056;3,00134277;-0,45167392
71,36275056;3,00134277;-0,45167392
71,52659056;3,00134277;-0,45167392
71,69043056;3,00134277;0,00305185
71,85427056;3,04620504;0,00305185
72,01811056;3,04620504;0,00305185
72,18195056;3,04620504;-0,45167392
72,34579056;3,00134277;-0,45167392
72,50963055;3,00134277;0,00305185
72,67347055;3,00134277;0,00305185
72,83731055;3,00134277;0,00305185
73,00115055;3,00134277;0,00305185
73,16499055;3,00134277;0,00305185
73,32883055;3,00134277;-0,45167392
73,49267055;3,04620504;0,00305185
73,65651055;3,04620504;0,00305185
73,82035055;3,04620504;0,00305185
73,98419055;2,95648050;-0,45167392
74,14803054;3,00134277;0,00305185
74,31187054;3,04620504;0,00305185
74,47571054;3,00134277;0,45625171
74,63955054;3,00134277;0,00305185
74,80339054;3,04620504;0,00305185
74,96723054;3,00134277;0,00305185
75,13107054;3,04620504;0,00305185
75,29491054;3,04620504;0,00305185
75,45875054;3,04620504;0,00305185
75,62259054;3,00134277;0,00305185
75,78643053;3,04620504;0,00305185
75,95027053;3,00134277;0,00305185
76,11411053;2,95648050;0,00305185
76,27795053;3,00134277;0,00305185
76,44179053;3,00134277;0,00305185
76,60563053;3,04620504;0,00305185
76,76947053;3,04620504;0,00305185
76,93331053;3,04620504;0,00305185
77,09715053;3,04620504;0,00305185
77,26099053;3,04620504;0,00305185
77,42483052;3,00134277;0,00305185
77,58867052;3,00134277;-0,45167392
77,75251052;3,00134277;0,00305185
77,91635052;3,00134277;-0,45167392
78,08019052;3,00134277;0,00305185
78,24403052;3,00134277;-0,45167392
78,40787052;3,04620504;0,00305185
78,57171052;3,04620504;0,00305185
78,73555052;3,00134277;0,00305185
78,89939052;3,00134277;0,00305185
79,06323051;3,00134277;0,00305185
79,22707051;3,00134277;0,00305185
79,39091051;3,00134277;-0,45167392
79,55475051;3,00134277;0,00305185
79,71859051;3,04620504;0,45625171
79,88243051;3,04620504;0,00305185
80,04627051;3,04620504;0,00305185
80,21011051;3,04620504;0,00305185
80,37395051;3,00134277;0,00305185
80,53779051;3,00134277;-0,45167392
80,70163050;3,04620504;0,00305185
80,86547050;3,04620504;0,00305185
81,02931050;3,00134277;0,00305185
81,19315050;3,00134277;-0,45167392
81,35699050;3,00134277;-0,90639967
81,52083050;3,04620504;-0,45167392
81,68467050;3,04620504;-0,45167392
81,84851050;3,00134277;-0,45167392
82,01235050;3,00134277;0,00305185
82,17619050;3,00134277;-0,45167392
82,34003049;2,95648050;0,00305185
82,50387049;3,00134277;0,00305185
82,66771049;3,00134277;0,00305185
82,83155049;3,04620504;0,00305185
82,99539049;3,04620504;0,00305185
83,15923049;3,04620504;-0,45167392
83,32307049;3,00134277;0,00305185
83,48691049;3,00134277;0,00305185
83,65075049;3,00134277;0,00305185
83,81459049;3,00134277;0,00305185
83,97843048;3,04620504;0,00305185
84,14227048;3,00134277;0,00305185
84,30611048;3,00134277;0,00305185
84,46995048;2,95648050;-0,90639967
84,63379048;3,04620504;-0,45167392
84,79763048;3,00134277;0,00305185
84,96147048;3,00134277;0,00305185
85,12531048;3,04620504;0,00305185
85,28915048;2,95648050;0,00305185
85,45299048;3,00134277;0,00305185
85,61683047;3,00134277;0,00305185
85,78067047;3,04620504;0,00305185
85,94451047;3,04620504;0,00305185
86,10835047;3,04620504;0,00305185
86,27219047;3,00134277;0,00305185
86,43603047;3,04620504;0,00305185
86,59987047;3,00134277;0,00305185
86,76371047;3,00134277;0,00305185
86,92755047;2,95648050;-0,45167392
87,09139047;3,00134277;-0,45167392
87,25523046;3,04620504;-0,45167392
87,41907046;3,04620504;-0,45167392
87,58291046;3,04620504;-0,45167392
87,74675046;3,00134277;-0,45167392
